Timestamp,SCT Version,Filename,Slice (I->S),VertLevel,MEAN(area),STD(area),MEAN(angle_AP),STD(angle_AP),MEAN(angle_RL),STD(angle_RL),MEAN(diameter_AP),STD(diameter_AP),MEAN(diameter_RL),STD(diameter_RL),MEAN(eccentricity),STD(eccentricity),MEAN(orientation),STD(orientation),MEAN(solidity),STD(solidity),SUM(length)
2020-09-07 17:58:29,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-balgrist03/anat/sub-balgrist03_T2star_rms_gmseg.nii.gz,4:10,3:4,16.107142857142865,1.5169114701139532,0.0,0.0,0.0,0.0,4.702455354888743,0.23451324621187933,10.224041627242682,0.5500980952093676,0.8866364019063437,0.016388204600702807,2.461677911134011,2.0163222422201135,0.42478501047993783,0.011830770561548406,35.00000333786011
2020-09-07 17:58:34,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-fslPrisma06/anat/sub-fslPrisma06_T2star_rms_gmseg.nii.gz,4:10,3:4,18.499999999999993,1.5923926292577086,0.0,0.0,0.0,0.0,6.123758216819069,0.23047821624997905,9.856291395749881,0.9301317701110593,0.772649017006631,0.06221100971483726,4.8977614440503965,3.6687408031477418,0.4110070447015062,0.015381203607541714,34.99995994567871
2020-09-07 17:59:30,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-geneva04/anat/sub-geneva04_T2star_rms_gmseg.nii.gz,4:9,3:4,16.458333333333332,1.4172792793079152,0.0,0.0,0.0,0.0,4.885918765588783,0.42722452182034365,9.53750450335272,0.484313507382236,0.8557313779443819,0.032644835695438586,2.7585503883841436,2.2905214668229825,0.45141078785592964,0.03131224270518002,30.000020027160645
2020-09-07 18:00:14,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-beijingVerio03/anat/sub-beijingVerio03_T2star_rms_gmseg.nii.gz,4:10,3:4,17.107142857142854,2.5872528966106945,0.0,0.0,0.0,0.0,5.324154794097191,0.20582599787509254,10.231915184000526,0.8344618068713255,0.8487071770043354,0.03585434059581278,4.569852607711053,4.1481851214229595,0.42636732517160425,0.031848136567038964,35.00001335144043
2020-09-07 18:00:34,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-vuiisAchieva02/anat/sub-vuiisAchieva02_T2star_rms_gmseg.nii.gz,3:10,3:4,13.71875000000028,1.188732912600638,0.0,0.0,0.0,0.0,4.6249037108319255,0.5770747608017801,10.032490186524239,0.6121918298461133,0.8798312715673777,0.04943147437467847,2.6505740491673153,2.500943195227746,0.38444410695097936,0.0350537247586532,40.0
2020-09-07 18:00:55,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-beijingVerio04/anat/sub-beijingVerio04_T2star_rms_gmseg.nii.gz,3:10,3:4,17.3125,1.9070182877990445,0.0,0.0,0.0,0.0,5.446847596653029,0.27591055346186316,9.501975180218725,0.5652965993073861,0.8141444765189503,0.04138818080676506,4.035948359074703,2.849354496033502,0.42853906326857616,0.019356517808600527,40.000030517578125
2020-09-07 18:01:18,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-oxfordFmrib03/anat/sub-oxfordFmrib03_T2star_rms_gmseg.nii.gz,3:10,3:4,17.406250000000007,1.6295009780604588,0.0,0.0,0.0,0.0,5.842666981412622,0.26677281766778377,9.778332450451538,0.7810960820234312,0.794176518582855,0.05121061791337094,2.664393093363937,1.2893035324146853,0.4046752912637635,0.02117885214388087,39.99999237060547
2020-09-07 18:01:25,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-tokyoSkyra03/anat/sub-tokyoSkyra03_T2star_rms_gmseg.nii.gz,3:10,3:4,17.187500000000004,2.5023426523959533,0.0,0.0,0.0,0.0,4.915300931087247,0.47857265824363227,10.210753498028737,1.0187249975197938,0.8697197529942314,0.043717257521769484,4.929441222414612,3.3460272333923955,0.43763111057691445,0.04253207168853057,39.9999885559082
2020-09-07 18:01:30,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-stanford06/anat/sub-stanford06_T2star_rms_gmseg.nii.gz,4:10,3:4,15.535714285714286,2.1812044978003517,0.0,0.0,0.0,0.0,5.214309210595242,0.2904724781631967,8.508512300259882,0.8835251169511783,0.779995116419762,0.05571517939654478,5.020471349442282,3.764253323924745,0.4489756977308986,0.025449555716528162,34.99946594238281
2020-09-07 18:01:52,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-tokyoIngenia03/anat/sub-tokyoIngenia03_T2star_rms_gmseg.nii.gz,4:10,3:4,10.96428571428571,1.8823834218720619,0.0,0.0,0.0,0.0,4.209496459455004,0.6203772490679087,9.10936877383287,0.745947463080811,0.8758216956470137,0.05988453961172034,4.860139094355101,1.6511074990247472,0.3622360638267855,0.03987102131848335,35.00001335144043
