Timestamp,SCT Version,Filename,Slice (I->S),VertLevel,Label,Size [vox],WA(),STD()
2020-09-07 17:57:34,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-balgrist03/anat/mtr.nii.gz,1:13,2:5,white matter,759.4032002787951,43.24962426563664,17.27420482389269
2020-09-07 17:57:40,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-fslPrisma06/anat/mtr.nii.gz,4:16,2:5,white matter,935.6265270804307,46.83290440540082,4.952552974580308
2020-09-07 17:58:37,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-geneva04/anat/mtr.nii.gz,4:15,2:5,white matter,699.2909427414642,48.946977781586874,5.950203711504715
2020-09-07 17:59:43,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-vuiisAchieva02/anat/mtr.nii.gz,3:16,2:5,white matter,1003.7684819100092,44.3436592958997,5.074756474270066
2020-09-07 18:00:00,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-oxfordFmrib03/anat/mtr.nii.gz,1:13,2:5,white matter,893.5859312192854,46.66352369357704,4.942314537025746
2020-09-07 18:00:12,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-tokyoSkyra03/anat/mtr.nii.gz,4:16,2:5,white matter,823.1582709889844,47.09253824119093,5.848104209530865
2020-09-07 18:00:26,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-stanford06/anat/mtr.nii.gz,8:19,2:5,white matter,753.5268396707111,36.347459198751444,10.706383281042724
2020-09-07 18:00:42,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-mniPilot1/anat/mtr.nii.gz,4:15,2:5,white matter,802.5855015394997,47.685787834236436,6.11907583027631
2020-09-07 18:00:46,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-tokyoIngenia03/anat/mtr.nii.gz,4:16,2:5,white matter,787.7478237549196,48.480190211567326,5.9347440586796445
2020-09-07 18:00:49,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-pavia03/anat/mtr.nii.gz,4:15,2:5,white matter,735.0498482447164,49.225394794106506,5.596999915944742
