Timestamp,SCT Version,Filename,Slice (I->S),VertLevel,MEAN(area),STD(area),MEAN(angle_AP),STD(angle_AP),MEAN(angle_RL),STD(angle_RL),MEAN(diameter_AP),STD(diameter_AP),MEAN(diameter_RL),STD(diameter_RL),MEAN(eccentricity),STD(eccentricity),MEAN(orientation),STD(orientation),MEAN(solidity),STD(solidity),SUM(length)
2020-09-07 17:54:12,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-fslPrisma06/anat/sub-fslPrisma06_T1w_RPI_r_seg.nii.gz,94:125,2:3,71.916376324839,2.5675664723503,5.684791509564476,1.7989615291341274,-0.08729527154303171,0.6328302652699397,7.875219531541945,0.17160125604265425,11.561676500920466,0.4345677934283878,0.7298564509593752,0.029402072869287366,1.5420187213085939,1.2730714731619734,0.9715391748071035,0.009930774068061603,32.17632215132013
2020-09-07 17:54:15,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-balgrist03/anat/sub-balgrist03_T1w_RPI_r_seg.nii.gz,93:125,2:3,60.12841491905673,2.047522397724411,-0.7635371325716795,0.09111582070313937,-1.6511775248719918,1.5626586675949234,6.537884701469906,0.21574264597864115,11.7270941670405,0.29352504702089127,0.8292178520184718,0.0176701234964021,2.3759016005713502,1.574018224813376,0.9567042755407809,0.015869994967002716,33.028981791182964
2020-09-07 17:55:01,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-geneva04/anat/sub-geneva04_T1w_RPI_r_seg.nii.gz,113:139,2:3,63.104036197204515,2.723753263137527,0.38692361904246425,0.38501299989895194,14.42190258393019,2.6712282751066123,7.269816355309124,0.2766167981737703,11.014760063828593,0.616454502472035,0.7451379726463236,0.04970618456006163,1.8842525316426577,1.3504838799693513,0.9729018029348863,0.011192512890586254,27.914205076741982
2020-09-07 17:55:02,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-oxfordFmrib03/anat/sub-oxfordFmrib03_T1w_RPI_r_seg.nii.gz,103:135,2:3,72.79639711853895,3.268521406813916,1.6612392753586092,0.4437621491774146,-12.075580436895818,0.37236456767281567,7.707070618184933,0.2312863870356877,11.888164866369411,0.423109753006889,0.7596489332891058,0.025481051328027547,1.3461776562699594,1.001211246249405,0.9762755819102433,0.006797595039988832,33.76271329824986
2020-09-07 17:55:06,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-tokyoSkyra03/anat/sub-tokyoSkyra03_T1w_RPI_r_seg.nii.gz,101:134,2:3,66.39746841433889,2.4271719155265408,-0.5037441302641167,0.845411176800122,7.74807175585165,3.506127786524625,7.0971626943905015,0.44057182087635904,11.96087138352022,0.690404509602225,0.7983105650875204,0.046749207528212176,3.904945098308166,2.1613138236208247,0.9649308394825954,0.018225723009376898,34.38479136439152
2020-09-07 17:55:16,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-tokyoIngenia03/anat/sub-tokyoIngenia03_T1w_RPI_r_seg.nii.gz,104:135,2:3,66.5841748621553,3.6238013788712604,0.8525293450160562,0.8906148680095551,10.451471576383387,3.202318693859294,7.138179382494227,0.5030492440972025,11.848360000606526,0.5529804918390118,0.792531012456758,0.04629651237244194,3.719217402999605,2.9094054031397105,0.9669522590478463,0.015081172246990042,32.601427124046175
2020-09-07 17:55:33,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-stanford06/anat/sub-stanford06_T1w_RPI_r_seg.nii.gz,124:154,2:3,60.58865882692925,2.543981511011735,-0.5655990982715399,0.19238918467213575,1.201629505285774,0.8974723241245187,6.935880850587733,0.30902220590912954,11.13302529187941,0.31871929316478387,0.7798942906159143,0.03258318757030279,1.9887006499144768,2.354664497401115,0.9579519970224315,0.009904930663190521,31.012314759247037
2020-09-07 17:55:36,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-vallHebron07/anat/sub-vallHebron07_T1w_RPI_r_seg.nii.gz,93:130,2:3,72.48490887925345,2.152230462772084,1.9878412925751334,0.4224106406308377,7.766375715232317,2.858382015397933,7.494249126378321,0.3412827002445198,12.296728821878594,0.7397906031174261,0.7860765735960911,0.04916722308731462,5.101577000358259,1.9528310194482277,0.9690585240926602,0.013906442988165603,38.425332846201165
2020-09-07 17:55:36,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-perform06/anat/sub-perform06_T1w_RPI_r_seg.nii.gz,105:138,2:3,54.122531709210136,5.197040890406415,-1.9914004549856281,1.547070874081181,0.2847130196894736,1.8357819412629262,6.449097350134372,0.7080703018910053,10.644711893719968,0.5158025365943717,0.7849128260342721,0.07423524717638767,3.031833196219406,2.154487017978256,0.9689004790546724,0.013114233527769376,34.05087857240804
2020-09-07 17:55:41,git-master-c7ec03543192a110e3e3177ae7c4ecefb97600cf,/scratch/jcohen/results_multi/data_processed/sub-oxfordFmrib07/anat/sub-oxfordFmrib07_T1w_RPI_r_seg.nii.gz,95:127,2:3,73.26986682840932,3.583213648376208,1.303627755841479,0.35633317881576115,-11.596454440026669,1.0037182091230725,7.76847937409141,0.4497084641256519,11.978466362180347,0.650269421855909,0.7533078800585324,0.06056436733687508,2.8571785630618263,2.103294288827155,0.9685812334538532,0.012143293234280353,33.70261099047779
